fiscal_year,revenue_usd,revenue_usd_available_at,revenue_usd_source_concept,revenue_usd_source_path,operating_income_usd,operating_income_usd_available_at,operating_income_usd_source_concept,operating_income_usd_source_path,pretax_income_usd,pretax_income_usd_available_at,pretax_income_usd_source_concept,pretax_income_usd_source_path,income_tax_usd,income_tax_usd_available_at,income_tax_usd_source_concept,income_tax_usd_source_path,interest_expense_usd,interest_expense_usd_available_at,interest_expense_usd_source_concept,interest_expense_usd_source_path,cfo_usd,cfo_usd_available_at,cfo_usd_source_concept,cfo_usd_source_path,capex_usd,capex_usd_available_at,capex_usd_source_concept,capex_usd_source_path,backlog_usd,backlog_usd_available_at,backlog_usd_source_concept,backlog_usd_source_path,cash_usd,cash_usd_available_at,cash_usd_source_concept,cash_usd_source_path,debt_noncurrent_usd,debt_noncurrent_usd_available_at,debt_noncurrent_usd_source_concept,debt_noncurrent_usd_source_path,debt_current_usd,debt_current_usd_available_at,debt_current_usd_source_concept,debt_current_usd_source_path,equity_usd,equity_usd_available_at,equity_usd_source_concept,equity_usd_source_path,total_debt_usd,effective_tax_rate,tax_rate_method,nopat_usd,fcff_usd,invested_capital_usd,average_invested_capital_usd,revenue_growth_pct,backlog_growth_pct,operating_margin_pct,fcff_margin_pct,roic_pct,financial_available_at,ticker,sector,subindustry,primary_anchor,anchor_source,financial_complete
2009,29540000000,2010-02-19,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,577000000,2010-02-19,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,569000000,2010-02-19,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,-270000000,2010-02-19,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,6343000000,2010-02-19,NetCashProvidedByUsedInOperatingActivities,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1348000000,2010-02-19,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,4867000000,2010-02-19,CashAndCashEquivalentsAtCarryingValue,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,0.0,,,,8823000000,2010-02-19,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,0.21,US_STATUTORY_21PCT_FALLBACK_INVALID_OR_NONPOSITIVE_PRETAX,455830000.0,4995000000.0,3956000000.0,,,,1.9532836831415032,16.90927555856466,,2010-02-19,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2010,39867000000,2011-02-22,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,3963000000,2011-02-22,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,3750000000,2011-02-22,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,968000000,2011-02-22,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,5009000000,2011-02-22,NetCashProvidedByUsedInOperatingActivities,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1575000000,2011-02-22,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,3592000000,2011-02-22,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,20437000000.0,2011-02-22,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,10864000000,2011-02-22,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,20437000000.0,0.2581333333333333,DIRECT_ANNUAL_TAX_OVER_PRETAX_INCOME,2940017600.0,3434000000.0,27709000000.0,15832500000.0,34.95937711577521,,9.940552336518925,8.61364035417764,18.569509553134374,2011-02-22,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2011,57392000000,2012-02-21,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,7153000000,2012-02-21,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,6725000000,2012-02-21,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1720000000,2012-02-21,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,7010000000,2012-02-21,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,2515000000,2012-02-21,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,3057000000,2012-02-21,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,24944000000.0,2012-02-21,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,12929000000,2012-02-21,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,24944000000.0,0.25576208178438664,DIRECT_ANNUAL_TAX_OVER_PRETAX_INCOME,5323533828.996283,4495000000.0,34816000000.0,31262500000.0,43.958662552988685,,12.463409534429886,7.832102035126846,17.028496854046484,2012-02-21,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2012,63068000000,2013-02-19,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,8573000000,2013-02-19,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,8236000000,2013-02-19,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,2528000000,2013-02-19,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,5241000000,2013-02-19,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,3350000000,2013-02-19,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,5490000000,2013-02-19,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,27752000000.0,2013-02-19,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,17582000000,2013-02-19,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,27752000000.0,0.30694511898980087,DIRECT_ANNUAL_TAX_OVER_PRETAX_INCOME,5941559494.900436,1891000000.0,39844000000.0,37330000000.0,9.889880122665184,,13.593264413014525,2.998350986237077,15.9163126035372,2013-02-19,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2013,52694000000,2014-02-18,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,5628000000,2014-02-18,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,5128000000,2014-02-18,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1319000000,2014-02-18,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,10191000000,2014-02-18,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,2522000000,2014-02-18,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,6081000000,2014-02-18,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,26719000000.0,2014-02-18,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,20878000000,2014-02-18,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,26719000000.0,0.25721528861154447,DIRECT_ANNUAL_TAX_OVER_PRETAX_INCOME,4180392355.694228,7669000000.0,41516000000.0,40680000000.0,-16.448912285152527,,10.680532887994838,14.55383914677193,10.276284060211967,2014-02-18,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2014,52142000000,2015-02-17,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,5328000000,2015-02-17,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,5083000000,2015-02-17,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1380000000,2015-02-17,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,8057000000,2015-02-17,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1539000000,2015-02-17,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,7341000000,2015-02-17,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,27784000000.0,2015-02-17,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,16826000000,2015-02-17,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,27784000000.0,0.27149321266968324,DIRECT_ANNUAL_TAX_OVER_PRETAX_INCOME,3881484162.895928,6518000000.0,37269000000.0,39392500000.0,-1.0475575966903294,,10.218250163016378,12.500479459936328,9.853358286211659,2015-02-17,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2015,44147000000,2016-02-16,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,3256000000,2016-02-16,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,2855000000,2016-02-16,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,742000000,2016-02-16,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,6675000000,2016-02-16,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1388000000,2016-02-16,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,6460000000,2016-02-16,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,25247000000.0,2016-02-16,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,14885000000,2016-02-16,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,25247000000.0,0.2598949211908932,DIRECT_ANNUAL_TAX_OVER_PRETAX_INCOME,2409782136.602452,5287000000.0,33672000000.0,35470500000.0,-15.333128763760495,,7.3753595940834025,11.97589870206356,6.793764217032328,2016-02-16,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2016,35773000000,2017-02-15,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,498000000,2017-02-15,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,139000000,2017-02-15,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,192000000,2017-02-15,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,5608000000,2017-02-15,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1109000000,2017-02-15,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,7168000000,2017-02-15,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,22818000000.0,2017-02-15,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,13213000000,2017-02-15,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,22818000000.0,0.21,US_STATUTORY_21PCT_FALLBACK_INVALID_OR_NONPOSITIVE_PRETAX,393420000.0,4499000000.0,28863000000.0,31267500000.0,-18.968446327043743,,1.3921113689095126,12.576524194224694,1.2582393859438714,2017-02-15,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2017,42676000000,2018-02-15,SalesRevenueNet,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,4406000000,2018-02-15,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,4082000000,2018-02-15,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,3339000000,2018-02-15,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,5702000000,2018-02-15,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,898000000,2018-02-15,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,8261000000,2018-02-15,CashCashEquivalentsAndShortTermInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,23847000000.0,2018-02-15,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,13766000000,2018-02-15,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,23847000000.0,0.21,US_STATUTORY_21PCT_FALLBACK_INVALID_OR_NONPOSITIVE_PRETAX,3480740000.0,4804000000.0,29352000000.0,29107500000.0,19.296676264221624,,10.324304058487206,11.256912550379603,11.958223825474533,2018-02-15,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
2018,54722000000,2019-02-14,Revenues,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,8293000000,2019-02-14,OperatingIncomeLoss,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,7822000000,2019-02-14,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1698000000,2019-02-14,IncomeTaxExpenseBenefit,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,,,,,6558000000,2019-02-14,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,1276000000,2019-02-14,PaymentsToAcquireProductiveAssets,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,5800000000.0,2019-02-14,RevenueRemainingPerformanceObligation,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,7890000000,2019-02-14,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,25000000000.0,2019-02-14,LongTermDebtNoncurrent,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,0.0,,,,14080000000,2019-02-14,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000018230.json,25000000000.0,0.21708003068268986,DIRECT_ANNUAL_TAX_OVER_PRETAX_INCOME,6492755305.548452,5282000000.0,31190000000.0,30271000000.0,28.226637922954346,,15.154782354446109,9.652424984466942,21.44876385170114,2019-02-14,CAT,Industrials,Machinery,ORDERS_BACKLOG_SHIPMENTS,SEC_REVENUE_REMAINING_PERFORMANCE_OBLIGATION,True
