ticker,quarter,ma_event,ma_window,mna_jump_allow,total_production_raw,oil_production_raw,total_oil_ratio,total_production_clean,oil_production_clean,production_qoq_log_raw,production_qoq_threshold,total_prod_yoy_raw,total_prod_yoy_clean,production_qc_flag
DVN,2009Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2009Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2010Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2010Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2010Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2011Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2011Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2011Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2012Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2012Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2012Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2013Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2013Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2013Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2014Q1,1.0,1.0,1.0,,,,,,,,,,MISSING
DVN,2014Q2,0.0,1.0,1.0,,,,,,,,,,MISSING
DVN,2014Q3,0.0,1.0,0.0,,,,,,,,,,MISSING
DVN,2014Q4,0.0,1.0,0.0,,,,,,,,,,MISSING
DVN,2015Q1,0.0,1.0,0.0,,,,,,,,,,MISSING
DVN,2015Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2015Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2015Q4,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2016Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2016Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2016Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2016Q4,0.0,0.0,0.0,,244.0,,,244.0,,,,,MISSING
DVN,2017Q1,0.0,0.0,0.0,,261.0,,,261.0,,,,,MISSING
DVN,2017Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2017Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2017Q4,0.0,0.0,0.0,548.0,,,548.0,,,,,,OK
DVN,2018Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2018Q2,0.0,0.0,0.0,541.0,109.0,4.963302752293578,541.0,109.0,-1.2856008101534024,49.49747468305833,,,OK
DVN,2018Q3,1.0,1.0,1.0,418.0,,,418.0,,-25.793784632172517,35.0,,,OK
DVN,2018Q4,0.0,1.0,1.0,61.0,,,61.0,,-192.4607568351445,35.0,-219.5401422774704,-219.5401422774704,OK
DVN,2019Q1,0.0,1.0,0.0,29.0,163.0,0.17791411042944785,,,,,,,REJECT_TOTAL_OIL_RATIO
DVN,2019Q2,1.0,1.0,1.0,149.0,153.0,0.9738562091503268,,,,,-128.94729729010223,,REJECT_TOTAL_OIL_RATIO
DVN,2019Q3,0.0,1.0,1.0,155.0,146.0,1.0616438356164384,,,,,-99.20563156055097,,REJECT_TOTAL_OIL_RATIO
DVN,2019Q4,0.0,1.0,0.0,584.0,156.0,3.7435897435897436,,,225.90271186549157,55.0,225.90271186549157,,REJECT_QOQ_JUMP
DVN,2020Q1,0.0,1.0,0.0,162.0,,,,,97.67224710590727,55.0,172.03005052459102,,REJECT_QOQ_JUMP
DVN,2020Q2,0.0,1.0,0.0,24.0,,,,,-93.28200338253656,55.0,-182.58924755975136,,REJECT_QOQ_JUMP
DVN,2020Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2020Q4,1.0,1.0,1.0,409.0,,,409.0,,190.28412918694906,55.0,-35.61858267854254,,OK
DVN,2021Q1,1.0,1.0,1.0,,,,,,,,,,MISSING
DVN,2021Q2,0.0,1.0,1.0,358.0,291.0,1.2302405498281788,358.0,291.0,-13.318216964210139,49.49747468305833,270.24791560527547,,OK
DVN,2021Q3,0.0,1.0,0.0,,,,,,,,,,MISSING
DVN,2021Q4,0.0,1.0,0.0,416.0,,,416.0,,15.015227386056306,49.49747468305833,1.6970104218461561,1.6970104218461561,OK
DVN,2022Q1,0.0,1.0,0.0,394.0,,,394.0,,-5.43343509633295,35.0,,,OK
DVN,2022Q2,0.0,0.0,0.0,74.0,,,,,-167.2285816093764,35.0,-157.64678931965307,,REJECT_QOQ_JUMP
DVN,2022Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2022Q4,0.0,0.0,0.0,407.0,,,407.0,,3.2462276144661106,55.0,-2.187207481866833,-2.187207481866833,OK
DVN,2023Q1,0.0,0.0,0.0,68.0,320.0,0.2125,,,,,-175.68432041218273,,REJECT_TOTAL_OIL_RATIO
DVN,2023Q2,0.0,0.0,0.0,420.0,323.0,1.3003095975232197,420.0,323.0,3.1441525834819095,49.49747468305833,173.6189618073244,,OK
DVN,2023Q3,0.0,0.0,0.0,,321.0,,,321.0,,,,,MISSING
DVN,2023Q4,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2024Q1,0.0,0.0,0.0,,319.0,,,319.0,,,,,MISSING
DVN,2024Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2024Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2024Q4,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2025Q1,0.0,0.0,0.0,851.0,390.0,2.182051282051282,,,70.61574172959601,55.0,,,REJECT_QOQ_JUMP
DVN,2025Q2,0.0,0.0,0.0,841.0,387.0,2.1731266149870803,,,69.4336948695534,55.0,,,REJECT_QOQ_JUMP
DVN,2025Q3,0.0,0.0,0.0,853.0,390.0,2.187179487179487,,,70.8504836214265,55.0,,,REJECT_QOQ_JUMP
DVN,2025Q4,0.0,0.0,0.0,,,,,,,,,,MISSING
DVN,2026Q1,0.0,0.0,0.0,833.0,387.0,2.152454780361757,,,68.47789308894288,55.0,-2.13784864065314,,REJECT_QOQ_JUMP
DVN,2026Q2,1.0,1.0,1.0,1359.0,503.0,2.701789264413519,1359.0,503.0,117.42497028737297,55.0,47.991275417819566,,OK
DVN,2026Q3,0.0,1.0,1.0,,,,,,,,,,MISSING
