ticker,quarter,ma_event,ma_window,mna_jump_allow,total_production_raw,oil_production_raw,total_oil_ratio,oil_qc_flag,total_production_clean,oil_production_clean,production_qoq_log_raw,production_qoq_threshold,pending_regime_value,pending_regime_quarter,total_prod_yoy_raw,total_prod_yoy_clean,total_qc_flag,production_qc_flag
EOG,2009Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2009Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2010Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2010Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2010Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2010Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2011Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2011Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2011Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2011Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2012Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2012Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2012Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2013Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2013Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2013Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2014Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2014Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2014Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2014Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2015Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2015Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2015Q3,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2015Q4,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2016Q1,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
EOG,2016Q2,0.0,0.0,0.0,,,,MISSING,,,,,,,,,MISSING,MISSING
