ticker,driver,identified_cost_usd,all_in_reserve_cost_usd,share_of_all_in_reserve_cost_pct,observed_years,window_years,identification_status,roic_effect_allocated,allocation_reason
AR,DEVELOPMENT_CAPITAL,3605213000.0,4246017000.0,84.90811506407063,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
AR,EXPLORATION_AND_DRY_HOLE_SCOPE,41280000.0,4246017000.0,0.9722052455277498,4,5,RECONCILED_TOTAL_WITH_COMPONENT_NOT_SEPARATELY_DISCLOSED,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
AR,PROVED_PROPERTY_ACQUISITION,0.0,4246017000.0,0.0,0,5,RECONCILED_TOTAL_WITH_COMPONENT_NOT_SEPARATELY_DISCLOSED,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
AR,UNPROVED_LEASEHOLD_ACQUISITION,599524000.0,4246017000.0,14.119679690401615,5,5,DIRECT_COMPONENT_DISCLOSURE,False,COST_COMPOSITION_ONLY_MEDIAN_ROIC_NONLINEAR_NO_ARBITRARY_ALLOCATION
AR,LEASEHOLD_AND_ACREAGE_OUTSIDE_REPORTED_ACQUISITION_SCOPE,,4246017000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
AR,SHARED_INFRASTRUCTURE,,4246017000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
AR,CORPORATE_OVERHEAD,,4246017000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
AR,ACQUISITION_PREMIUM_AND_PURCHASE_ACCOUNTING,,4246017000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
AR,MAINTENANCE_AND_RESERVE_REPLACEMENT_TIMING,,4246017000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
AR,IMPAIRMENTS_AND_EARNINGS_TIMING,,4246017000.0,,0,5,NOT_SEPARATELY_IDENTIFIED_IN_CURRENT_EVIDENCE,False,UNEXPLAINED_RESIDUAL_RETAINED_FAIL_CLOSED
