period,segment,reported_segment_label,sales_usd,operating_profit_usd,operating_margin_pct,filing_period,filing_date,source_url,source_path,source_sha256,table_index,reported_basis,history_authority,original_sales_usd,original_operating_profit_usd,sales_revision_usd,operating_profit_revision_usd,material_scope_revision
2019Q4,ingalls_shipbuilding,Ingalls,702000000.0,59000000.0,8.404558404558404,2020Q4,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,11,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,702000000.0,59000000.0,0.0,0.0,False
2019Q4,mission_technologies,Technical Solutions,350000000.0,-23000000.0,-6.571428571428571,2020Q4,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,11,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,369000000.0,-19000000.0,-19000000.0,-4000000.0,True
2019Q4,newport_news_shipbuilding,Newport News,1399000000.0,137000000.0,9.792709077912795,2020Q4,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,11,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,1390000000.0,133000000.0,9000000.0,4000000.0,True
2020Q1,ingalls_shipbuilding,Ingalls,629000000.0,68000000.0,10.81081081081081,2021Q1,2021-05-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000014/hii2021q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-05-06_0001501585-21-000014_EX-99.1_hii2021q1earningsrelease.htm,c2bf1d6afa665ab9e6e6331de0a1728b72b773eece4ca1a3d987833c6a8eaf49,10,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,629000000.0,68000000.0,0.0,0.0,False
2020Q1,mission_technologies,Technical Solutions,317000000.0,-7000000.0,-2.2082018927444795,2021Q1,2021-05-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000014/hii2021q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-05-06_0001501585-21-000014_EX-99.1_hii2021q1earningsrelease.htm,c2bf1d6afa665ab9e6e6331de0a1728b72b773eece4ca1a3d987833c6a8eaf49,10,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,317000000.0,-7000000.0,0.0,0.0,False
2020Q1,newport_news_shipbuilding,Newport News,1341000000.0,95000000.0,7.084265473527218,2021Q1,2021-05-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000014/hii2021q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-05-06_0001501585-21-000014_EX-99.1_hii2021q1earningsrelease.htm,c2bf1d6afa665ab9e6e6331de0a1728b72b773eece4ca1a3d987833c6a8eaf49,10,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,1341000000.0,95000000.0,0.0,0.0,False
2020Q2,ingalls_shipbuilding,Ingalls,622000000.0,55000000.0,8.842443729903538,2021Q2,2021-08-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000027/hii2021q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-08-05_0001501585-21-000027_EX-99.1_hii2021q2earningsrelease.htm,497a2b73a082c8eca48684484f43c0883682822d39ac284c3f23da38201746c4,10,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,622000000.0,55000000.0,0.0,0.0,False
2020Q2,mission_technologies,Technical Solutions,320000000.0,9000000.0,2.8125,2021Q2,2021-08-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000027/hii2021q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-08-05_0001501585-21-000027_EX-99.1_hii2021q2earningsrelease.htm,497a2b73a082c8eca48684484f43c0883682822d39ac284c3f23da38201746c4,10,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,320000000.0,9000000.0,0.0,0.0,False
2020Q2,newport_news_shipbuilding,Newport News,1122000000.0,-69000000.0,-6.149732620320856,2021Q2,2021-08-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000027/hii2021q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-08-05_0001501585-21-000027_EX-99.1_hii2021q2earningsrelease.htm,497a2b73a082c8eca48684484f43c0883682822d39ac284c3f23da38201746c4,10,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,1122000000.0,-69000000.0,0.0,0.0,False
2020Q3,ingalls_shipbuilding,Ingalls,675000000.0,62000000.0,9.185185185185185,2021Q3,2021-11-04,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000034/hii2021q3earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-11-04_0001501585-21-000034_EX-99.1_hii2021q3earningsrelease.htm,7e596583de14f1b5e1714e6176197d0f6f5fbf58b634622f53e603a1aa20bde1,11,CURRENT_RELEASE_PRIOR_YEAR_COMPARABLE,CURRENTLY_RECAST_COMPARABLE_HISTORY,675000000.0,62000000.0,0.0,0.0,False
