ticker,candidate_id,error_class,count,auto_error
ABBV,5283e304577b1e22d1b6,TABLE_ROUTING,1,0
ABBV,2cb595121e2bc0a1c200,UNSUPPORTED_ABSOLUTE_VALUE,2,0
ABBV,2cb595121e2bc0a1c200,UNSUPPORTED_CHANGE_TO,2,0
ABBV,23273784873c2a3678a3,UNSUPPORTED_CHANGE_TO,6,0
ABNB,4ba3895c3c686477b073,UNSUPPORTED_RANGE_GUIDANCE,2,0
ABNB,f5519ada96db8108175c,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
ABNB,f5519ada96db8108175c,UNSUPPORTED_CHANGE_TO,1,0
ACN,ab6ed8ea6c900eb910c2,TABLE_ROUTING,1,0
ACN,391f2ee33993d60ad27d,UNSUPPORTED_ABSOLUTE_VALUE,1,0
ACN,63d3b57dd20fad9f91f4,UNSUPPORTED_COMPARATIVE,2,0
ACN,63d3b57dd20fad9f91f4,UNSUPPORTED_CHANGE_TO,2,0
ACN,beb64dc7a28ef093a151,TABLE_ROUTING,1,0
ADBE,88a472e0a985b95f8fb0,UNSUPPORTED_ABSOLUTE_VALUE,2,0
ADBE,88a472e0a985b95f8fb0,UNSUPPORTED_CAUSE_EFFECT,2,0
ADBE,2069511ae238b6df059b,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
ADBE,2069511ae238b6df059b,UNSUPPORTED_CHANGE_TO,2,0
ADBE,a7c171acffc55fab0737,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
ADBE,a7c171acffc55fab0737,UNSUPPORTED_CHANGE_TO,2,0
AFL,37e00569d9a7fafc04f0,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
AFL,37e00569d9a7fafc04f0,UNSUPPORTED_CHANGE_TO,2,0
AFL,64d8e60191f2568f52b5,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
AFL,64d8e60191f2568f52b5,UNSUPPORTED_CHANGE_TO,2,0
ALB,c27dbe5f6c8719cdb9ff,UNSUPPORTED_CAUSE_EFFECT,3,0
ALB,c27dbe5f6c8719cdb9ff,UNSUPPORTED_CHANGE_TO,3,0
ALB,20670424efa10743e43b,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
ALB,20670424efa10743e43b,UNSUPPORTED_CAUSE_EFFECT,4,0
ALB,20670424efa10743e43b,UNSUPPORTED_CHANGE_TO,4,0
ALB,c4cc584eaaf3b8c93187,UNSUPPORTED_CAUSE_EFFECT,3,0
ALB,c4cc584eaaf3b8c93187,UNSUPPORTED_CHANGE_TO,3,0
ALB,4b9482485ce7032207eb,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
ALB,4b9482485ce7032207eb,UNSUPPORTED_ABSOLUTE_VALUE,1,0
ALGN,51d4a4dd8a5d173b0620,UNSUPPORTED_CHANGE_TO,2,0
ALGN,0e94f2081b8de8532c7e,UNSUPPORTED_RANGE_GUIDANCE,1,0
ALGN,c35cb02a2b22168660a1,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
ALGN,c35cb02a2b22168660a1,UNSUPPORTED_RANGE_GUIDANCE,1,0
ALGN,b8997556cb963620f4a3,UNSUPPORTED_COMPARATIVE,2,0
AMD,99f5f513843227599227,SEMANTIC_BINDING_FALSE_POSITIVE,1,1
AMD,99f5f513843227599227,UNSUPPORTED_ABSOLUTE_VALUE,1,0
AMD,a87bf61bdbcb0289c0b6,UNSUPPORTED_ABSOLUTE_VALUE,1,0
AMD,d14a38ab21d0a97ff357,UNSUPPORTED_CAUSE_EFFECT,2,0
AMD,d14a38ab21d0a97ff357,UNSUPPORTED_CHANGE_TO,2,0
MCD,c9bcf94ae8074b774d56,UNSUPPORTED_CHANGE_BY,2,0
MCD,186c25cb22fc4a68eb2a,UNSUPPORTED_CHANGE_TO,2,0
