segment,filing_date,source_url,source_path,source_sha256,period,fiscal_year,fiscal_quarter,sales_usd,segment_profit_usd,comparable_prior_sales_usd,comparable_prior_segment_profit_usd,operating_cost_usd,comparable_prior_operating_cost_usd,segment_margin_pct
construction,2021-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000026/cat_exx991x4qx2020xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-01-29_0000018230-21-000026_EX-99.1_cat_exx991x4qx2020xearning.htm,56cbda891363c3af747bd7823faa4a7d58fa886209b7dda7152757df56d28ca5,2020Q4,2020,4,4508000000.0,630000000.0,5020000000.0,659000000.0,3878000000.0,4361000000.0,13.975155279503104
mpe,2021-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000026/cat_exx991x4qx2020xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-01-29_0000018230-21-000026_EX-99.1_cat_exx991x4qx2020xearning.htm,56cbda891363c3af747bd7823faa4a7d58fa886209b7dda7152757df56d28ca5,2020Q4,2020,4,10570000000.0,1306000000.0,12386000000.0,1749000000.0,9264000000.0,10637000000.0,12.355723746452222
power_energy,2021-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000026/cat_exx991x4qx2020xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-01-29_0000018230-21-000026_EX-99.1_cat_exx991x4qx2020xearning.htm,56cbda891363c3af747bd7823faa4a7d58fa886209b7dda7152757df56d28ca5,2020Q4,2020,4,4811000000.0,687000000.0,5949000000.0,1165000000.0,4124000000.0,4784000000.0,14.279775514446062
resource,2021-01-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000026/cat_exx991x4qx2020xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-01-29_0000018230-21-000026_EX-99.1_cat_exx991x4qx2020xearning.htm,56cbda891363c3af747bd7823faa4a7d58fa886209b7dda7152757df56d28ca5,2020Q4,2020,4,2180000000.0,273000000.0,2395000000.0,261000000.0,1907000000.0,2134000000.0,12.522935779816514
construction,2021-04-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000145/cat_exx991x1qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-04-29_0000018230-21-000145_EX-99.1_cat_exx991x1qx2021xearning.htm,70a9dd1a3130ff1cd9ac1cae2116a12871de199bb407c09d18f0cbf75e15dbd8,2021Q1,2021,1,5459000000.0,1035000000.0,4306000000.0,640000000.0,4424000000.0,3666000000.0,18.959516394944128
mpe,2021-04-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000145/cat_exx991x1qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-04-29_0000018230-21-000145_EX-99.1_cat_exx991x1qx2021xearning.htm,70a9dd1a3130ff1cd9ac1cae2116a12871de199bb407c09d18f0cbf75e15dbd8,2021Q1,2021,1,11191000000.0,1664000000.0,9914000000.0,1341000000.0,9527000000.0,8573000000.0,14.869091234027342
power_energy,2021-04-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000145/cat_exx991x1qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-04-29_0000018230-21-000145_EX-99.1_cat_exx991x1qx2021xearning.htm,70a9dd1a3130ff1cd9ac1cae2116a12871de199bb407c09d18f0cbf75e15dbd8,2021Q1,2021,1,4507000000.0,666000000.0,4349000000.0,602000000.0,3841000000.0,3747000000.0,14.777013534501886
resource,2021-04-29,https://www.sec.gov/Archives/edgar/data/18230/000001823021000145/cat_exx991x1qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-04-29_0000018230-21-000145_EX-99.1_cat_exx991x1qx2021xearning.htm,70a9dd1a3130ff1cd9ac1cae2116a12871de199bb407c09d18f0cbf75e15dbd8,2021Q1,2021,1,2216000000.0,328000000.0,2084000000.0,304000000.0,1888000000.0,1780000000.0,14.801444043321299
construction,2021-07-30,https://www.sec.gov/Archives/edgar/data/18230/000001823021000218/cat_exx991x2qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-07-30_0000018230-21-000218_EX-99.1_cat_exx991x2qx2021xearning.htm,27b7e40b14a0f9c54acbb7b3e63c41128b6edaf0761647ac2c7715ccabadaaf6,2021Q2,2021,2,5656000000.0,1024000000.0,4048000000.0,518000000.0,4632000000.0,3530000000.0,18.104667609618105
mpe,2021-07-30,https://www.sec.gov/Archives/edgar/data/18230/000001823021000218/cat_exx991x2qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-07-30_0000018230-21-000218_EX-99.1_cat_exx991x2qx2021xearning.htm,27b7e40b14a0f9c54acbb7b3e63c41128b6edaf0761647ac2c7715ccabadaaf6,2021Q2,2021,2,12193000000.0,1653000000.0,9310000000.0,749000000.0,10540000000.0,8561000000.0,13.556958910850488
power_energy,2021-07-30,https://www.sec.gov/Archives/edgar/data/18230/000001823021000218/cat_exx991x2qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-07-30_0000018230-21-000218_EX-99.1_cat_exx991x2qx2021xearning.htm,27b7e40b14a0f9c54acbb7b3e63c41128b6edaf0761647ac2c7715ccabadaaf6,2021Q2,2021,2,4975000000.0,731000000.0,4149000000.0,624000000.0,4244000000.0,3525000000.0,14.693467336683415
resource,2021-07-30,https://www.sec.gov/Archives/edgar/data/18230/000001823021000218/cat_exx991x2qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-07-30_0000018230-21-000218_EX-99.1_cat_exx991x2qx2021xearning.htm,27b7e40b14a0f9c54acbb7b3e63c41128b6edaf0761647ac2c7715ccabadaaf6,2021Q2,2021,2,2579000000.0,361000000.0,1826000000.0,152000000.0,2218000000.0,1674000000.0,13.997673516867001
construction,2021-10-28,https://www.sec.gov/Archives/edgar/data/18230/000001823021000251/ex991toformcat3q2021earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-10-28_0000018230-21-000251_EX-99.1_ex991toformcat3q2021earnin.htm,55045aad0005ba3640000c3048c6422de87ad751fca65210234acdeee90fd9cf,2021Q3,2021,3,5255000000.0,859000000.0,4056000000.0,585000000.0,4396000000.0,3471000000.0,16.346336822074214
mpe,2021-10-28,https://www.sec.gov/Archives/edgar/data/18230/000001823021000251/ex991toformcat3q2021earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-10-28_0000018230-21-000251_EX-99.1_ex991toformcat3q2021earnin.htm,55045aad0005ba3640000c3048c6422de87ad751fca65210234acdeee90fd9cf,2021Q3,2021,3,11707000000.0,1571000000.0,9228000000.0,925000000.0,10136000000.0,8303000000.0,13.419321773298027
power_energy,2021-10-28,https://www.sec.gov/Archives/edgar/data/18230/000001823021000251/ex991toformcat3q2021earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-10-28_0000018230-21-000251_EX-99.1_ex991toformcat3q2021earnin.htm,55045aad0005ba3640000c3048c6422de87ad751fca65210234acdeee90fd9cf,2021Q3,2021,3,5077000000.0,696000000.0,4161000000.0,492000000.0,4381000000.0,3669000000.0,13.708883198739413
resource,2021-10-28,https://www.sec.gov/Archives/edgar/data/18230/000001823021000251/ex991toformcat3q2021earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2021-10-28_0000018230-21-000251_EX-99.1_ex991toformcat3q2021earnin.htm,55045aad0005ba3640000c3048c6422de87ad751fca65210234acdeee90fd9cf,2021Q3,2021,3,2406000000.0,297000000.0,1816000000.0,167000000.0,2109000000.0,1649000000.0,12.344139650872817
construction,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2021,4,5736000000.0,788000000.0,4508000000.0,630000000.0,4948000000.0,3878000000.0,13.737796373779638
mpe,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2021,4,13097000000.0,1475000000.0,10570000000.0,1306000000.0,11622000000.0,9264000000.0,11.262121096434297
power_energy,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2021,4,5728000000.0,675000000.0,4811000000.0,687000000.0,5053000000.0,4124000000.0,11.784217877094973
resource,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2021,4,2762000000.0,305000000.0,2180000000.0,273000000.0,2457000000.0,1907000000.0,11.042722664735699
construction,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2022,1,6115000000.0,1057000000.0,5459000000.0,1042000000.0,5058000000.0,4417000000.0,17.285363859362224
mpe,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2022,1,12886000000.0,1715000000.0,11191000000.0,1664000000.0,11171000000.0,9527000000.0,13.309017538413784
power_energy,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2022,1,5038000000.0,538000000.0,4507000000.0,675000000.0,4500000000.0,3832000000.0,10.678840809845177
resource,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2022,1,2830000000.0,361000000.0,2178000000.0,312000000.0,2469000000.0,1866000000.0,12.756183745583039
construction,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2022,2,6033000000.0,989000000.0,5656000000.0,1029000000.0,5044000000.0,4627000000.0,16.393170893419526
mpe,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2022,2,13539000000.0,1804000000.0,12193000000.0,1653000000.0,11735000000.0,10540000000.0,13.324470049486667
power_energy,2022-08-02,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-08-02_0000018230-22-000178_EX-99.1_ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,2022Q2,2022,2,5705000000.0,659000000.0,4975000000.0,738000000.0,5046000000.0,4237000000.0,11.551270815074496
