filing_date,period_of_report,document_type,document_name,source_url,stored_path,metadata_sha256,actual_sha256,hash_match,model_use,selection_reason,pdf_parsing_deferred
2016-01-15,2016-01-12,EX-99.1,exhibit991_johnson.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000390/exhibit991_johnson.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-01-15_0000018230-16-000390_EX-99.1_exhibit991_johnson.htm,1f8d2552df4485e63ec85fc4fb21db1e75285486f3e0d1ac7a9d97a0e08e902e,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-01-28,2016-01-28,EX-99.1,a16-2992_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465916091860/a16-2992_1ex99d1.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-01-28_0001104659-16-091860_EX-99.1_a16-2992_1ex99d1.htm,2592fa25211df10e6902a4dd351cca203c7de1374f7597f954d4f206e3aefd93,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-04-22,2016-04-22,EX-99.1,cat_exx991xq1x2016xearning.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000503/cat_exx991xq1x2016xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-04-22_0000018230-16-000503_EX-99.1_cat_exx991xq1x2016xearning.htm,490c571c1000eced4925911ed70757ce80b2e848d0d8d892f7c71996c376c999,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-05-16,2016-05-16,EX-99.1,cat_exx991x12312015.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000533/cat_exx991x12312015.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-05-16_0000018230-16-000533_EX-99.1_cat_exx991x12312015.htm,75aef3b384c1c0618540aeaeae59fed5435bf88edfcd158f2377a1dd221a9706,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-05-16,2016-05-16,EX-99.2,cat_exx992x12312015.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000533/cat_exx992x12312015.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-05-16_0000018230-16-000533_EX-99.2_cat_exx992x12312015.htm,7d0ac8f8e6845ab82c2f4afbd365ac67f3da02538334175dd8a5e7c368f923f9,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-05-16,2016-05-16,EX-99.3,cat_exx993x12312015.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000533/cat_exx993x12312015.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-05-16_0000018230-16-000533_EX-99.3_cat_exx993x12312015.htm,53e9547a2e1bbef75c6d1412d93a4a94d5a830c2219b2240440315bd2e5f4651,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-05-16,2016-05-16,EX-99.4,cat_exx994x12312015.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000533/cat_exx994x12312015.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-05-16_0000018230-16-000533_EX-99.4_cat_exx994x12312015.htm,d3435c48a533060d631f2e0c325d19fded28e819b2f70e6f2c8fbe57b21e6867,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-07-26,2016-07-26,EX-99.1,cat_exx991xq2x2016xearning.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000611/cat_exx991xq2x2016xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-07-26_0000018230-16-000611_EX-99.1_cat_exx991xq2x2016xearning.htm,92d38323670f77fcc1d05e067032eb938eb4bdea7c135968c2164a0936bc1b24,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-09-14,2016-09-08,EX-99.1,a16-18148_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465916144578/a16-18148_1ex99d1.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-09-14_0001104659-16-144578_EX-99.1_a16-18148_1ex99d1.htm,9f727d3e397e35ec0baf10ead556668ec3b47a718e3346eefeb62ca48a568de8,,,NOT_SELECTED,NON_EARNINGS_IR,True
2016-09-14,2016-09-08,EX-99.2,a16-18148_1ex99d2.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465916144578/a16-18148_1ex99d2.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2016-09-14_0001104659-16-144578_EX-99.2_a16-18148_1ex99d2.htm,23130ad8fd090d883abdd7133986d5627213621f323095fa805a2f88c8961a9f,,,NOT_SELECTED,NON_EARNINGS_IR,True
