period,segment,filing_date,prior_sales_usd,volume_change_usd,price_realization_change_usd,currency_change_usd,mix_intersegment_other_change_usd,current_sales_usd,reported_change_usd,volume_contribution_pct,price_contribution_pct,currency_other_contribution_pct,reported_revenue_growth_pct,bridge_identity_error_usd,reported_change_error_usd,source_url,source_sha256,bridge_identity_pass,reported_change_pass
2020Q4,construction,2021-01-29,5020000000.0,-526000000.0,-3000000.0,30000000.0,-13000000.0,4508000000.0,-512000000.0,-10.47808764940239,-0.0597609561752988,0.3386454183266932,-10.199203187250987,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000026/cat_exx991x4qx2020xearning.htm,56cbda891363c3af747bd7823faa4a7d58fa886209b7dda7152757df56d28ca5,True,True
2020Q4,power_energy,2021-01-29,5949000000.0,-1197000000.0,12000000.0,49000000.0,-2000000.0,4811000000.0,-1138000000.0,-20.12102874432678,0.2017145738779627,0.7900487476886872,-19.129265422760128,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000026/cat_exx991x4qx2020xearning.htm,56cbda891363c3af747bd7823faa4a7d58fa886209b7dda7152757df56d28ca5,True,True
2020Q4,resource,2021-01-29,2395000000.0,-237000000.0,7000000.0,7000000.0,8000000.0,2180000000.0,-215000000.0,-9.89561586638831,0.29227557411273486,0.6263048016701461,-8.977035490605417,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000026/cat_exx991x4qx2020xearning.htm,56cbda891363c3af747bd7823faa4a7d58fa886209b7dda7152757df56d28ca5,True,True
2021Q1,construction,2021-04-29,4306000000.0,1006000000.0,-23000000.0,146000000.0,24000000.0,5459000000.0,1153000000.0,23.362749651648862,-0.5341384115188109,3.9479795633999073,26.77659080352997,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000145/cat_exx991x1qx2021xearning.htm,70a9dd1a3130ff1cd9ac1cae2116a12871de199bb407c09d18f0cbf75e15dbd8,True,True
2021Q1,power_energy,2021-04-29,4349000000.0,-41000000.0,7000000.0,74000000.0,118000000.0,4507000000.0,158000000.0,-0.9427454587261439,0.1609565417337319,4.4148080018395035,3.6330190848471062,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000145/cat_exx991x1qx2021xearning.htm,70a9dd1a3130ff1cd9ac1cae2116a12871de199bb407c09d18f0cbf75e15dbd8,True,True
2021Q1,resource,2021-04-29,2084000000.0,132000000.0,-47000000.0,33000000.0,14000000.0,2216000000.0,132000000.0,6.333973128598848,-2.2552783109404992,2.2552783109404992,6.333973128598842,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000145/cat_exx991x1qx2021xearning.htm,70a9dd1a3130ff1cd9ac1cae2116a12871de199bb407c09d18f0cbf75e15dbd8,True,True
2021Q2,construction,2021-07-30,4048000000.0,1171000000.0,238000000.0,162000000.0,37000000.0,5656000000.0,1608000000.0,28.927865612648223,5.879446640316206,4.91600790513834,39.72332015810275,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000218/cat_exx991x2qx2021xearning.htm,27b7e40b14a0f9c54acbb7b3e63c41128b6edaf0761647ac2c7715ccabadaaf6,True,True
2021Q2,power_energy,2021-07-30,4149000000.0,456000000.0,12000000.0,111000000.0,247000000.0,4975000000.0,826000000.0,10.99060014461316,0.28922631959508316,8.628585201253314,19.908411665461557,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000218/cat_exx991x2qx2021xearning.htm,27b7e40b14a0f9c54acbb7b3e63c41128b6edaf0761647ac2c7715ccabadaaf6,True,True
2021Q2,resource,2021-07-30,1826000000.0,712000000.0,-17000000.0,66000000.0,-8000000.0,2579000000.0,753000000.0,38.99233296823658,-0.9309967141292442,3.1763417305585984,41.237677984665936,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000218/cat_exx991x2qx2021xearning.htm,27b7e40b14a0f9c54acbb7b3e63c41128b6edaf0761647ac2c7715ccabadaaf6,True,True
2021Q3,construction,2021-10-28,4056000000.0,957000000.0,218000000.0,38000000.0,-14000000.0,5255000000.0,1199000000.0,23.59467455621302,5.374753451676528,0.591715976331361,29.561143984220905,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000251/ex991toformcat3q2021earnin.htm,55045aad0005ba3640000c3048c6422de87ad751fca65210234acdeee90fd9cf,True,True
2021Q3,power_energy,2021-10-28,4161000000.0,628000000.0,-6000000.0,44000000.0,250000000.0,5077000000.0,916000000.0,15.092525835135785,-0.14419610670511895,7.065609228550828,22.01393895698149,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000251/ex991toformcat3q2021earnin.htm,55045aad0005ba3640000c3048c6422de87ad751fca65210234acdeee90fd9cf,True,True
2021Q3,resource,2021-10-28,1816000000.0,522000000.0,43000000.0,22000000.0,3000000.0,2406000000.0,590000000.0,28.744493392070485,2.36784140969163,1.3766519823788546,32.48898678414096,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823021000251/ex991toformcat3q2021earnin.htm,55045aad0005ba3640000c3048c6422de87ad751fca65210234acdeee90fd9cf,True,True
2021Q4,construction,2022-01-28,4508000000.0,929000000.0,299000000.0,-23000000.0,23000000.0,5736000000.0,1228000000.0,20.607808340727594,6.63265306122449,0.0,27.24046140195209,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,True,True
2021Q4,power_energy,2022-01-28,4811000000.0,640000000.0,88000000.0,-7000000.0,196000000.0,5728000000.0,917000000.0,13.302847640823115,1.829141550613178,3.928497193930576,19.060486385366858,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,True,True
2021Q4,resource,2022-01-28,2180000000.0,467000000.0,121000000.0,2000000.0,-8000000.0,2762000000.0,582000000.0,21.422018348623855,5.5504587155963305,-0.27522935779816515,26.69724770642202,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,True,True
2022Q1,construction,2022-04-28,5459000000.0,325000000.0,421000000.0,-101000000.0,11000000.0,6115000000.0,656000000.0,5.953471331745741,7.71203517127679,-1.6486535995603588,12.016852903462166,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,True,True
2022Q1,power_energy,2022-04-28,4507000000.0,333000000.0,115000000.0,-74000000.0,157000000.0,5038000000.0,531000000.0,7.388506767250943,2.551586421122698,1.8415797648102952,11.781672953183929,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,True,True
2022Q1,resource,2022-04-28,2178000000.0,527000000.0,169000000.0,-34000000.0,-10000000.0,2830000000.0,652000000.0,24.196510560146926,7.75941230486685,-2.0202020202020203,29.935720844811755,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,True,True
2022Q2,construction,2022-08-02,5656000000.0,-25000000.0,535000000.0,-122000000.0,-11000000.0,6033000000.0,377000000.0,-0.442008486562942,9.458981612446959,-2.3514851485148514,6.6654879773691675,0.0,0.0,https://www.sec.gov/Archives/edgar/data/18230/000001823022000178/ex991toformcat2q2022earnin.htm,248af024ab18d2967c406bdf0dae96a41b4ab8f62fcf94921dc2e06d7a2856dc,True,True
