segment,filing_date,source_url,source_path,source_sha256,filing_period,referenced_period,metric,repeated_value_usd,original_value_usd,difference_usd,exact_match,comparison_status
construction,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,sales_usd,4508000000.0,4508000000.0,0.0,True,EXACT
construction,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,segment_profit_usd,630000000.0,630000000.0,0.0,True,EXACT
resource,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,sales_usd,2180000000.0,2180000000.0,0.0,True,EXACT
resource,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,segment_profit_usd,273000000.0,273000000.0,0.0,True,EXACT
power_energy,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,sales_usd,4811000000.0,4811000000.0,0.0,True,EXACT
power_energy,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,segment_profit_usd,687000000.0,687000000.0,0.0,True,EXACT
mpe,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,sales_usd,10570000000.0,10570000000.0,0.0,True,EXACT
mpe,2022-01-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000014/cat_exx991x4qx2021xearning.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-01-28_0000018230-22-000014_EX-99.1_cat_exx991x4qx2021xearning.htm,65c83813a5702d92fd3da553aadb65c43d880c786220109823da33cb37b6c198,2021Q4,2020Q4,segment_profit_usd,1306000000.0,1306000000.0,0.0,True,EXACT
construction,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,sales_usd,5459000000.0,5459000000.0,0.0,True,EXACT
construction,2022-04-28,https://www.sec.gov/Archives/edgar/data/18230/000001823022000107/ex991toformcat1q2022earnin.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CAT\2022-04-28_0000018230-22-000107_EX-99.1_ex991toformcat1q2022earnin.htm,cc8486f161e5bb501326066d134fc658fe214fe716e3c09b2361dde8ec3c7a9b,2022Q1,2021Q1,segment_profit_usd,1042000000.0,1035000000.0,7000000.0,False,RECAST_OR_SEGMENT_SCOPE_CHANGE
