ticker,subindustry,quarterly_rows,complete_quarterly_rows,conditional_capex_rows,latest_complete_quarter,capex_source_tags,source_status
AR,ep,50,25,0,2026Q1,PaymentsToAcquireOilAndGasProperty;PaymentsToAcquireOtherPropertyPlantAndEquipment,STANDARDIZED_COMPLETE
BKR,services,35,30,0,2026Q1,PaymentsToAcquireProductiveAssets,STANDARDIZED_COMPLETE
CNX,ep,67,64,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
COP,ep,67,33,8,2026Q1,PaymentsForProceedsFromProductiveAssets;PaymentsToAcquireProductiveAssets,CONDITIONAL_PIT_COMPLETE
CVX,integrated,69,39,0,2026Q1,PaymentsToAcquireOilAndGasPropertyAndEquipment,STANDARDIZED_COMPLETE
DVN,ep,67,16,0,2026Q1,PaymentsToAcquireProductiveAssets,STANDARDIZED_COMPLETE
EOG,ep,65,56,0,2026Q1,PaymentsToAcquireOilAndGasPropertyAndEquipment;PaymentsToAcquireOtherPropertyPlantAndEquipment,STANDARDIZED_COMPLETE
EPD,midstream,67,46,2,2026Q1,PaymentsToAcquireProductiveAssets;PaymentsToAcquirePropertyPlantAndEquipment,CONDITIONAL_PIT_COMPLETE
EQT,ep,67,32,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
ET,midstream,63,58,0,2026Q1,PaymentsToAcquireProductiveAssets,STANDARDIZED_COMPLETE
FANG,ep,53,25,0,2026Q1,PaymentsToAcquireOilAndGasProperty;PaymentsToAcquireOilAndGasEquipment,STANDARDIZED_COMPLETE
HAL,services,66,30,0,2026Q1,PaymentsToAcquireProductiveAssets,STANDARDIZED_COMPLETE
KMI,midstream,58,56,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
MGY,ep,33,27,0,2026Q1,PaymentsToAcquireOilAndGasPropertyAndEquipment,STANDARDIZED_COMPLETE
MPC,refining,59,31,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
MTDR,ep,57,32,0,2026Q1,PaymentsToAcquireOtherPropertyPlantAndEquipment,STANDARDIZED_COMPLETE
NOG,ep,59,40,3,2026Q1,PaymentsToAcquireOtherPropertyPlantAndEquipment;PaymentsToAcquireOilAndGasPropertyAndEquipment,CONDITIONAL_PIT_COMPLETE
OVV,ep,25,25,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
PR,ep,40,32,0,2026Q1,PaymentsToAcquireOilAndGasProperty;PaymentsToAcquireOtherPropertyPlantAndEquipment,STANDARDIZED_COMPLETE
PSX,refining,57,31,0,2026Q1,PaymentsForProceedsFromOtherInvestingActivities,STANDARDIZED_COMPLETE
RRC,ep,61,26,0,2026Q1,PaymentsToAcquireOilAndGasPropertyAndEquipment,STANDARDIZED_COMPLETE
SLB,services,67,29,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
SM,ep,63,29,25,2026Q1,PaymentsToAcquireOilAndGasPropertyAndEquipment,CONDITIONAL_PIT_COMPLETE
VLO,refining,67,30,25,2026Q1,PaymentsToAcquireProductiveAssets;PaymentsToAcquirePropertyPlantAndEquipment,CONDITIONAL_PIT_COMPLETE
WMB,midstream,64,44,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
XOM,integrated,67,33,0,2026Q1,PaymentsToAcquirePropertyPlantAndEquipment,STANDARDIZED_COMPLETE
