subindustry,variable,assumptions,boundary_hits,lower_hits,upper_hits,all_scenarios_same_boundary_tickers,boundary_hit_pct,boundary_status,freeze_eligible
ep,growth,42,29,8,21,1,69.04761904761905,RED_FREEZE_PROHIBITED,False
ep,operating_margin,42,9,4,5,0,21.428571428571427,YELLOW_INVESTIGATE,True
ep,reinvestment_rate,42,19,15,4,0,45.23809523809524,RED_FREEZE_PROHIBITED,False
ep,roic,42,11,8,3,0,26.190476190476193,RED_FREEZE_PROHIBITED,False
ep,terminal_growth,42,0,0,0,0,0.0,GREEN,True
ep,wacc,42,0,0,0,0,0.0,GREEN,True
integrated,growth,6,6,0,6,2,100.0,RED_FREEZE_PROHIBITED,False
integrated,operating_margin,6,0,0,0,0,0.0,GREEN,True
integrated,reinvestment_rate,6,1,0,1,0,16.666666666666664,YELLOW_INVESTIGATE,True
integrated,roic,6,0,0,0,0,0.0,GREEN,True
integrated,terminal_growth,6,0,0,0,0,0.0,GREEN,True
integrated,wacc,6,0,0,0,0,0.0,GREEN,True
midstream,growth,12,8,1,7,1,66.66666666666666,RED_FREEZE_PROHIBITED,False
midstream,operating_margin,12,0,0,0,0,0.0,GREEN,True
midstream,reinvestment_rate,12,6,2,4,0,50.0,RED_FREEZE_PROHIBITED,False
midstream,roic,12,0,0,0,0,0.0,GREEN,True
midstream,terminal_growth,12,0,0,0,0,0.0,GREEN,True
midstream,wacc,12,0,0,0,0,0.0,GREEN,True
refining,growth,9,9,0,9,3,100.0,RED_FREEZE_PROHIBITED,False
refining,operating_margin,9,0,0,0,0,0.0,GREEN,True
refining,reinvestment_rate,9,5,0,5,0,55.55555555555556,RED_FREEZE_PROHIBITED,False
refining,roic,9,0,0,0,0,0.0,GREEN,True
refining,terminal_growth,9,0,0,0,0,0.0,GREEN,True
refining,wacc,9,0,0,0,0,0.0,GREEN,True
services,growth,9,1,0,1,0,11.11111111111111,YELLOW_INVESTIGATE,True
services,operating_margin,9,0,0,0,0,0.0,GREEN,True
services,reinvestment_rate,9,2,2,0,0,22.22222222222222,YELLOW_INVESTIGATE,True
services,roic,9,0,0,0,0,0.0,GREEN,True
services,terminal_growth,9,0,0,0,0,0.0,GREEN,True
services,wacc,9,0,0,0,0,0.0,GREEN,True
