test,subindustry,variable,tickers,solved_tickers,unbracketed_tickers,solved_median_abs_assumption_error,solved_maximum_abs_assumption_error,solved_median_abs_forward_roundtrip_error_pct,solved_maximum_abs_forward_roundtrip_error_pct
A_FORWARD_BASE_TO_REVERSE,ep,growth,14,14,0,4.1867398437034353e-11,4.4569148371920164e-10,5.254706885719878e-11,8.373029022724968e-11
A_FORWARD_BASE_TO_REVERSE,ep,operating_margin,14,14,0,1.1119993814645568e-11,3.0752289603697136e-11,3.345238554074343e-11,9.538068917806283e-11
A_FORWARD_BASE_TO_REVERSE,ep,roic,14,14,0,1.5062617819694424e-11,1.7258017237509193e-10,3.237357965793001e-11,9.567638561956937e-11
A_FORWARD_BASE_TO_REVERSE,integrated,growth,2,2,0,6.15643092061191e-11,6.831690768649423e-11,8.192808846576772e-11,8.484806990865638e-11
A_FORWARD_BASE_TO_REVERSE,integrated,operating_margin,2,2,0,3.90265597616235e-12,7.187139772213413e-12,2.73693432181725e-11,5.029284604814873e-11
A_FORWARD_BASE_TO_REVERSE,integrated,roic,2,2,0,3.7778669081944827e-11,4.04227762373921e-11,5.978523074571576e-11,6.504026317910337e-11
A_FORWARD_BASE_TO_REVERSE,midstream,growth,4,4,0,9.374945264539747e-11,1.3222134498391824e-10,2.4310138523943855e-11,7.789933249341772e-11
A_FORWARD_BASE_TO_REVERSE,midstream,operating_margin,4,4,0,9.229950137523701e-12,1.3432810419544694e-11,4.4359714771527945e-11,5.0995718071483664e-11
A_FORWARD_BASE_TO_REVERSE,midstream,roic,4,4,0,3.553601857220201e-12,9.72022462519817e-12,2.8172546102738925e-11,6.356566762452999e-11
A_FORWARD_BASE_TO_REVERSE,refining,growth,3,3,0,2.2920332298781432e-11,5.565381488992216e-11,2.6431930950681443e-11,8.376603831883682e-11
A_FORWARD_BASE_TO_REVERSE,refining,operating_margin,3,3,0,1.411315508903499e-12,5.509370737399877e-12,2.926741552862138e-11,9.093062342968473e-11
A_FORWARD_BASE_TO_REVERSE,refining,roic,3,3,0,5.2457593824328796e-11,6.743228198047291e-11,7.826915188416952e-11,7.950001292657013e-11
A_FORWARD_BASE_TO_REVERSE,services,growth,3,3,0,2.3666402171329537e-11,8.063594236773497e-11,3.1550013782792445e-11,8.115950151728789e-11
A_FORWARD_BASE_TO_REVERSE,services,operating_margin,3,3,0,9.167777648144693e-12,1.0043521569969016e-11,6.89582495509802e-11,9.654971761162328e-11
A_FORWARD_BASE_TO_REVERSE,services,roic,3,3,0,2.864553039216844e-11,5.370459632558777e-11,7.729669959136487e-11,8.787481896201992e-11
B_MARKET_REVERSE_TO_FORWARD,ep,growth,14,10,4,,,3.107948891375534e-11,6.85984182091806e-11
B_MARKET_REVERSE_TO_FORWARD,ep,operating_margin,14,14,0,,,5.3867060736637106e-11,8.821502684667036e-11
B_MARKET_REVERSE_TO_FORWARD,ep,roic,14,12,2,,,7.401075787102904e-12,9.242506353401906e-11
B_MARKET_REVERSE_TO_FORWARD,integrated,growth,2,2,0,,,3.8702781743422904e-11,4.2419506188658636e-11
B_MARKET_REVERSE_TO_FORWARD,integrated,operating_margin,2,2,0,,,5.5655923009565675e-11,7.598669082045606e-11
B_MARKET_REVERSE_TO_FORWARD,integrated,roic,2,0,2,,,,
B_MARKET_REVERSE_TO_FORWARD,midstream,growth,4,2,2,,,7.31934616801314e-11,7.331502461699408e-11
B_MARKET_REVERSE_TO_FORWARD,midstream,operating_margin,4,3,1,,,7.04496077867615e-12,5.903287696433289e-11
B_MARKET_REVERSE_TO_FORWARD,midstream,roic,4,2,2,,,3.885012795982315e-11,3.9442205024335545e-11
B_MARKET_REVERSE_TO_FORWARD,refining,growth,3,3,0,,,2.7302772319103222e-11,2.885066040089387e-11
B_MARKET_REVERSE_TO_FORWARD,refining,operating_margin,3,3,0,,,1.3644471870508214e-11,5.3679565327633364e-11
B_MARKET_REVERSE_TO_FORWARD,refining,roic,3,1,2,,,9.98676203753932e-11,9.98676203753932e-11
B_MARKET_REVERSE_TO_FORWARD,services,growth,3,2,1,,,2.452770017199378e-11,4.0728809353215823e-11
B_MARKET_REVERSE_TO_FORWARD,services,operating_margin,3,3,0,,,2.8670234868309424e-11,5.370430908862829e-11
B_MARKET_REVERSE_TO_FORWARD,services,roic,3,2,1,,,6.631408303315367e-11,7.062182729210102e-11
