subindustry,variable,assumptions,boundary_hits,lower_hits,upper_hits,all_scenarios_same_boundary_tickers,boundary_hit_pct,boundary_status,freeze_eligible
ep,growth,42,9,2,7,0,21.428571428571427,YELLOW_INVESTIGATE,True
ep,operating_margin,42,8,4,4,0,19.047619047619047,YELLOW_INVESTIGATE,True
ep,reinvestment_rate,42,9,6,3,0,21.428571428571427,YELLOW_INVESTIGATE,True
ep,roic,42,10,7,3,0,23.809523809523807,YELLOW_INVESTIGATE,True
ep,terminal_growth,42,0,0,0,0,0.0,GREEN,True
ep,wacc,42,0,0,0,0,0.0,GREEN,True
integrated,growth,6,0,0,0,0,0.0,GREEN,True
integrated,operating_margin,6,0,0,0,0,0.0,GREEN,True
integrated,reinvestment_rate,6,0,0,0,0,0.0,GREEN,True
integrated,roic,6,0,0,0,0,0.0,GREEN,True
integrated,terminal_growth,6,0,0,0,0,0.0,GREEN,True
integrated,wacc,6,0,0,0,0,0.0,GREEN,True
midstream,growth,12,2,0,2,0,16.666666666666664,YELLOW_INVESTIGATE,True
midstream,operating_margin,12,0,0,0,0,0.0,GREEN,True
midstream,reinvestment_rate,12,0,0,0,0,0.0,GREEN,True
midstream,roic,12,0,0,0,0,0.0,GREEN,True
midstream,terminal_growth,12,0,0,0,0,0.0,GREEN,True
midstream,wacc,12,0,0,0,0,0.0,GREEN,True
refining,growth,9,0,0,0,0,0.0,GREEN,True
refining,operating_margin,9,0,0,0,0,0.0,GREEN,True
refining,reinvestment_rate,9,0,0,0,0,0.0,GREEN,True
refining,roic,9,0,0,0,0,0.0,GREEN,True
refining,terminal_growth,9,0,0,0,0,0.0,GREEN,True
refining,wacc,9,0,0,0,0,0.0,GREEN,True
services,growth,9,0,0,0,0,0.0,GREEN,True
services,operating_margin,9,0,0,0,0,0.0,GREEN,True
services,reinvestment_rate,9,0,0,0,0,0.0,GREEN,True
services,roic,9,0,0,0,0,0.0,GREEN,True
services,terminal_growth,9,0,0,0,0,0.0,GREEN,True
services,wacc,9,0,0,0,0,0.0,GREEN,True
