ticker,v13_unit_economics_status,v13_historical_margin_q50_pct,v13_core_accounting_margin_q50_pct,v13_core_roic_proxy_q50_pct,terminal_anchor_ready,production_eligible,research_only,transport_observations_5y,production_tax_observations_5y,g_and_a_observations_5y,hedge_observations_5y,realized_basis_observations_5y,v14_cost_scope_status,median_transport_cost_per_boe,median_production_tax_per_boe,median_g_and_a_per_boe,median_reported_hedge_gain_loss_per_boe,median_abs_reported_hedge_gain_loss_per_boe,normalized_hedge_gain_loss_per_boe,hedge_normalization_status,median_realized_revenue_basis_per_boe,realized_revenue_basis_iqr_per_boe,basis_hedge_paired_observations_5y,basis_hedge_correlation,median_basis_ex_reported_hedge_diagnostic_per_boe,hedge_inclusion_diagnostic,hedge_adjusted_basis_applied,realized_basis_status,v14_realized_basis_adjusted_price_q50_per_boe,basis_iqr_pct_of_adjusted_price,basis_dispersion_status,v14_known_cost_accounting_margin_q50_pct,v14_known_cost_replacement_cash_margin_q50_pct,v14_known_cost_roic_proxy_q50_pct,v14_margin_gap_vs_v13_historical_q50_pct_points,absolute_margin_gap_improvement_vs_v13_core_pct_points,roic_proxy_reduction_vs_v13_pct_points,margin_semantics,roic_cross_check_status
AR,CORE_STANDARDIZED_RESERVE_REPLACEMENT_CROSS_CHECK,17.592492529612606,16.489336815893637,93.40413159417308,False,False,True,0.0,0.0,5.0,5.0,5.0,UPPER_BOUND_MISSING_TRANSPORT_AND_PRODUCTION_TAX,,,1.0878521337179443,0.003503222869192246,0.8058932026604044,0.0,QUANTIFIED_SEPARATELY_ZERO_LONG_RUN_NOT_NETTED_WITHOUT_REVENUE_INCLUSION_PROOF,-1.3340905142669754,0.5644114906181272,5.0,-0.4205905518972907,-1.340040727877629,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,False,EXACT_UPSTREAM_REVENUE_BASIS_CROSS_CHECK,20.376672190325625,2.769890418544873,LOWER_DISPERSION_LE_25PCT_OF_ADJUSTED_PRICE,5.683058199388287,8.551908227298927,30.213649009639354,-11.909434330224318,-10.806278616505349,63.190482584533726,KNOWN_COST_UPPER_BOUND_MISSING_COMPONENTS_NOT_ZERO_FILLED,UPPER_BOUND_BELOW_100PCT_STILL_INCOMPLETE
CNX,CORE_STANDARDIZED_RESERVE_REPLACEMENT_CROSS_CHECK,15.535159989608298,68.86061473191442,384.4680799099729,False,False,True,5.0,5.0,5.0,5.0,5.0,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,3.8229701911536798,0.30014885439846684,1.338427489363326,-1.878027264374235,16.597037389932197,0.0,QUANTIFIED_SEPARATELY_ZERO_LONG_RUN_NOT_NETTED_WITHOUT_REVENUE_INCLUSION_PROOF,-4.732342405594061,16.446390010300597,5.0,0.9992801056314999,-3.3183063958526766,STRONG_EXACT_HEDGE_ASSOCIATION_REVENUE_INCLUSION_NOT_PROVEN,False,EXACT_UPSTREAM_REVENUE_BASIS_CROSS_CHECK,14.297101238267068,115.03303876929141,HIGH_DISPERSION_GT_25PCT_OF_ADJUSTED_PRICE,20.35309734625032,37.60491612044284,85.3771796812329,4.817937356642021,48.50751738566411,299.09090022874,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,BELOW_100PCT_AFTER_COMPLETE_COST_SCOPE_NOT_VALIDATED
COP,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED,25.14257259492297,,,False,False,True,,,,,,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
DVN,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED,25.39094026097124,,,False,False,True,,,,,,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
EOG,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED,18.46892245793776,,,False,False,True,,,,,,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
EQT,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED,-7.930085202164951,,,False,False,True,,,,,,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
FANG,CORE_STANDARDIZED_RESERVE_REPLACEMENT_CROSS_CHECK,41.8645627432781,46.16814361475998,258.66228322701573,False,False,True,0.0,4.0,4.0,4.0,4.0,UPPER_BOUND_MISSING_TRANSPORT,,3.044648583949634,0.9392862624595161,-0.48148538432113946,1.2981541389696782,0.0,QUANTIFIED_SEPARATELY_ZERO_LONG_RUN_NOT_NETTED_WITHOUT_REVENUE_INCLUSION_PROOF,-6.638326472148677,3.3256240933762093,4.0,-0.983434949470068,-6.354516226694901,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,False,EXACT_UPSTREAM_REVENUE_BASIS_CROSS_CHECK,36.09739385625641,9.212920208642185,LOWER_DISPERSION_LE_25PCT_OF_ADJUSTED_PRICE,25.231814390067953,43.12593652437317,119.4054075444966,-16.632748353210147,-12.32916748172827,139.25687568251914,KNOWN_COST_UPPER_BOUND_MISSING_COMPONENTS_NOT_ZERO_FILLED,ABOVE_100PCT_OR_UNAVAILABLE_REQUIRES_MORE_COST_SCOPE
MGY,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED,39.32871046650431,,,False,False,True,,,,,,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
MTDR,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED,37.63874853215732,,,False,False,True,,,,,,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
NOG,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED,30.54382408737932,,,False,False,True,,,,,,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
