ticker,group,v15_chain_ready,v16_total_proved_chain_years,v16_usable_replacement_years,production_verified_years,identity_within_2pct_years,event_rollforward_route_present,snapshot_total_stock_flow_route_present,route_semantics,v16_reserve_chain_ready,coverage_status,organic_replacement_claim_allowed,terminal_anchor_ready_x,complete_standardized_cost_scope,accounting_perimeter_pass,accounting_perimeter_gate,median_absolute_margin_gap_pct_points,actual_three_component_mix_ready,hedge_presentation_proven,primary_accounting_blocker,terminal_anchor_ready_y,research_only_x,level_1_development_roic_pct,level_1_semantics,level_2_reserve_replacement_roic_pct,level_2_semantics,level_3_company_incremental_roic_q50_pct,level_3_eligible_years,level_3_semantics,three_level_roic_separated,company_incremental_roic_validated,level_3_status,unexplained_roic_over_100pct,terminal_anchor_ready,research_only_y,observed_all_in_reserve_cost_years,reserve_chain_5plus_usable_years,all_in_reserve_cost_3plus_years,basis_explainable,three_roic_levels_present,terminal_candidate_ready,terminal_anchor_replacement_allowed,terminal_candidate_status
AR,gas_heavy,True,9,9,9,9,True,False,TOTAL_PROVED_REQUIRED_EVENTS_PARENT_APPROVED,True,V16_TOTAL_PROVED_CHAIN_READY,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,2.4847893683118087,True,True,TRANSPORT_AND_PRODUCTION_TAX_SCOPE_NOT_PROVEN,False,True,30.213649009639354,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,26.31864158365348,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,,2,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,LOCKED_FEWER_THAN_3_POSITIVE_MATERIAL_DELTA_CAPITAL_YEARS,False,False,True,5,True,True,True,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;THREE_ROIC_LEVELS_PRESENT
CNX,gas_heavy,True,7,7,7,4,True,False,TOTAL_PROVED_REQUIRED_EVENTS_PARENT_APPROVED,True,V16_TOTAL_PROVED_CHAIN_READY,False,False,True,False,LOCKED_NUMERIC_PASS_HEDGE_PRESENTATION_NOT_PROVEN,2.831826292661095,False,False,HEDGE_PRESENTATION_NOT_PROVEN,False,True,85.3771796812329,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,74.84314083754909,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,34.777602664395765,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,5,True,True,False,True,False,False,LOCKED_ACCOUNTING_PERIMETER_PASS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;HEDGE_PRESENTATION_PROVEN
COP,mixed,False,0,0,0,0,False,False,,False,LOCKED_INSUFFICIENT_PROVEN_CHAIN,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,6.954051844845019,4,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,False,False,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;RESERVE_CHAIN_5PLUS_USABLE_YEARS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
DVN,mixed,False,5,5,4,5,True,False,TOTAL_PROVED_MBOE_FULL_EVENT_CHAIN,True,V16_TOTAL_PROVED_CHAIN_READY,True,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,,2,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,LOCKED_FEWER_THAN_3_POSITIVE_MATERIAL_DELTA_CAPITAL_YEARS,False,False,True,0,True,False,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
EOG,oil_heavy,False,5,5,4,5,True,False,TOTAL_PROVED_MBOE_FULL_EVENT_CHAIN,True,V16_TOTAL_PROVED_CHAIN_READY,True,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,True,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-10.386454694718502,5,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,True,False,True,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
EQT,gas_heavy,True,9,9,9,7,True,False,TOTAL_PROVED_REQUIRED_EVENTS_PARENT_APPROVED,True,V16_TOTAL_PROVED_CHAIN_READY,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-4.755193031374001,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,5,True,True,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT
FANG,oil_heavy,True,2,2,2,2,True,False,TOTAL_PROVED_REQUIRED_EVENTS_PARENT_APPROVED,True,PRESERVED_FROZEN_V1_5_CHAIN_READY,False,False,True,False,REVIEW_V16_IR_COST_SUPPLEMENT_ANNUAL_GAPS,7.043313140086617,True,False,DERIVATIVE_PRESENTATION_AND_2025_MARGIN_GAP_REMAIN_UNPROVEN,False,True,119.4054075444966,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,41.87448476131674,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,0.12169977734097638,5,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,True,False,True,3,False,True,True,True,False,False,LOCKED_ACCOUNTING_PERIMETER_PASS;RESERVE_CHAIN_5PLUS_USABLE_YEARS;HEDGE_PRESENTATION_PROVEN;UNEXPLAINED_ROIC_OVER_100PCT
MGY,oil_heavy,False,0,0,0,0,False,False,,False,LOCKED_INSUFFICIENT_PROVEN_CHAIN,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,True,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,95.82671316794125,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,False,False,True,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;RESERVE_CHAIN_5PLUS_USABLE_YEARS;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
MTDR,oil_heavy,False,5,5,5,5,False,True,TOTAL_REPLACEMENT_INCLUDING_ACQUISITIONS_NOT_ORGANIC,True,V16_TOTAL_PROVED_CHAIN_READY,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,7.3286342943103016,6,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,True,False,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
NOG,oil_heavy,False,0,0,0,0,False,False,,False,LOCKED_INSUFFICIENT_PROVEN_CHAIN,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,59.43213446456852,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,False,False,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;RESERVE_CHAIN_5PLUS_USABLE_YEARS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
OVV,mixed,False,0,0,0,0,False,False,,False,LOCKED_INSUFFICIENT_PROVEN_CHAIN,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-25.103271914637332,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,False,False,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;RESERVE_CHAIN_5PLUS_USABLE_YEARS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
PR,oil_heavy,False,0,0,0,0,False,False,,False,LOCKED_INSUFFICIENT_PROVEN_CHAIN,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,True,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-18.078261530035658,4,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,False,False,True,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;RESERVE_CHAIN_5PLUS_USABLE_YEARS;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
RRC,gas_heavy,False,5,5,5,3,True,False,TOTAL_PROVED_BCFE_CONVERTED_AT_6MCF_PER_BOE,True,V16_TOTAL_PROVED_CHAIN_READY,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,,2,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,LOCKED_FEWER_THAN_3_POSITIVE_MATERIAL_DELTA_CAPITAL_YEARS,False,False,True,0,True,False,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
SM,mixed,False,4,4,4,4,True,False,TOTAL_PROVED_MBOE_NET_ACQUISITION_EVENT_CHAIN,True,V16_TOTAL_PROVED_CHAIN_READY,False,False,False,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,,False,True,COMPANY_ACCOUNTING_PERIMETER_NOT_RECONCILED,False,True,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-45.16137776410283,4,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True,0,False,False,False,False,False,False,LOCKED_COMPLETE_STANDARDIZED_COST_SCOPE;ACCOUNTING_PERIMETER_PASS;RESERVE_CHAIN_5PLUS_USABLE_YEARS;ACTUAL_THREE_COMPONENT_MIX_READY;BASIS_EXPLAINABLE;THREE_ROIC_LEVELS_PRESENT;ALL_IN_RESERVE_COST_3PLUS_YEARS
