candidate_block_id,semantic_candidate_id,ticker,source_kind,primary_root_cause,secondary_reasons
ca9776a2c690d36a0a4b,9122b40e89460d974f19,A,COMPANY_IR,NO_SAFE_FINAL_BINDING,
d624cc327bb23ba139a1,5d2267b79b0a2dbd6b2d,A,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
d624cc327bb23ba139a1,07ecef0577365b5c122d,A,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
d624cc327bb23ba139a1,a163daabe6e02741c502,A,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
5f1f35b91e2602cd834a,01bc75ce20321e29c4dc,A,SEC_10K,NO_SAFE_FINAL_BINDING,
28420c6b6fc683c0b127,7f4f93f440c4c820df99,A,SEC_10K,NO_SAFE_FINAL_BINDING,
6111ede6515a235e4322,bf078f6929b9aacbc94d,A,SEC_10K,NO_SAFE_FINAL_BINDING,
9e6a202262166e44ba27,64d4791329aad93b4382,A,SEC_10K,NO_SAFE_FINAL_BINDING,
8bb4ce2e1ac08a482530,72d125b105703d86dc49,A,SEC_10K,NO_SAFE_FINAL_BINDING,
3dee65f67557ebf6074d,623a219fc0f89d68da49,A,SEC_10K,NO_SAFE_FINAL_BINDING,
f13e89692566a5009273,8361e985311994c77e0c,A,SEC_10K,LAYOUT_ROUTED_MIXED,TOP1_TOP2_MARGIN_BELOW_THRESHOLD
b9a952a1de9f39201f88,d456d0ebbdb34ad94e2e,A,SEC_10Q,NO_SAFE_FINAL_BINDING,
37f6882c523c34bae34a,aa8ea39e185a3116cce4,A,SEC_10Q,NO_SAFE_FINAL_BINDING,
e66e310405a1ae0fc15d,51c6967e51b2996d6806,A,SEC_10Q,NO_SAFE_FINAL_BINDING,
5826995d07e05de5de86,67336e2fc4ce5c41e745,A,SEC_10Q,NO_SAFE_FINAL_BINDING,
61574baff5b1b51024d5,c74cdb04fe47606661f8,A,SEC_10Q,NO_SAFE_FINAL_BINDING,
66a3f3644062c4e4241b,0433091bdbc6dd075708,A,SEC_10Q,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
866ad24fc18cbd2a608c,7a62d286299f12297973,AA,COMPANY_IR,NO_SAFE_FINAL_BINDING,
3d96f2c1966e871b27d0,01a3fc223d8b8abf48b1,AA,COMPANY_IR,NO_SAFE_FINAL_BINDING,
3d96f2c1966e871b27d0,4135f5939e04cf19e4db,AA,COMPANY_IR,NO_SAFE_FINAL_BINDING,
3d96f2c1966e871b27d0,fcd23b8422ef1cd74856,AA,COMPANY_IR,NO_SAFE_FINAL_BINDING,
8893ee7869874c9fab8b,49a2863e6eaa4af50530,AA,COMPANY_IR,NO_SAFE_FINAL_BINDING,
8893ee7869874c9fab8b,3327f6b342ec66b33899,AA,COMPANY_IR,NO_SAFE_FINAL_BINDING,
69e7fae86ab93faa05e4,5a25ef865c91ce40910a,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,b37acc4a1a4d200eaf66,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,d6d35d34e5bcb8d29676,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,72d02451a943302bdffc,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,456de16acd43fada38d9,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,f6d76f7175d58bb5d8d5,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,8537cce6cb6504e531b9,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,7b4b73ddf1652dfc3786,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
69e7fae86ab93faa05e4,23c8325747df3add7026,AA,COMPANY_IR,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
75f28972b6e58aa5befd,8fa9b06cddb54916c2d0,AA,SEC_10K,NO_SAFE_FINAL_BINDING,
5a93477ad5fb92a5629c,9e57a9ce73abdecf825d,AA,SEC_10K,NO_SAFE_FINAL_BINDING,
5a93477ad5fb92a5629c,174aef54aaa23a32d536,AA,SEC_10K,NO_SAFE_FINAL_BINDING,
5a93477ad5fb92a5629c,0c778e7710128cba954f,AA,SEC_10K,NO_SAFE_FINAL_BINDING,
8f16764a164cb23026f8,3e9475c54eb604977425,AA,SEC_10K,NO_SAFE_FINAL_BINDING,
8f16764a164cb23026f8,4876c7efd350fe49d20e,AA,SEC_10K,NO_SAFE_FINAL_BINDING,
4c4ff69581a729185163,89efc6e46d800ad7269a,AA,SEC_10K,LAYOUT_ROUTED_MIXED,FINANCIAL_GRID_ROUTED_BEFORE_TEXT_IE
