sector,subindustry,sensor_id,source,dataset,raw_series,pqci_dimension,economic_role,lead_months,grade,direction,weight,target,transformation,availability_status,forecast_use,grade_weight,model_weight
Energy,oil_ep,wti_price,EIA,wti_spot_price,WTI,P,COINCIDENT,0,A,1,0.5,realized_price,quarter_average_yoy,AVAILABLE_ARCANA,NOWCAST,1.0,0.5
Energy,oil_ep,crude_production,EIA,crude_oil_production,US_CRUDE,Q,COINCIDENT,0,A,1,0.5,production,quarter_average_yoy,AVAILABLE_ARCANA,NOWCAST,1.0,0.5
Energy,oil_ep,rig_count,FRED,baker_hughes_rig_count,RIGS,Q,LEADING,3,B,1,0.3,production,three_month_momentum,SOURCE_AVAILABLE_NOT_INGESTED,FORECAST,0.8,0.24
Energy,refining,refinery_utilization,EIA,refinery_utilization,US_REFINERY_UTILIZATION,Q,COINCIDENT,0,A,1,0.5,throughput,quarter_average_yoy,AVAILABLE_ARCANA,NOWCAST,1.0,0.5
Energy,refining,crack_spread,EIA,petroleum_prices,GASOLINE_MINUS_WTI,P,COINCIDENT,0,B,1,0.5,refining_margin,quarter_average_yoy,SOURCE_AVAILABLE_NOT_INGESTED,NOWCAST,0.8,0.4
Utilities,electric_utilities,electricity_sales,EIA,electricity_sales,RETAIL_MWH,Q,COINCIDENT,0,A,1,0.5,revenue,quarter_average_yoy,AVAILABLE_ARCANA,NOWCAST,1.0,0.5
Utilities,electric_utilities,electricity_price,EIA,electricity_price,RETAIL_PRICE_KWH,P,COINCIDENT,0,A,1,0.5,revenue,quarter_average_yoy,AVAILABLE_ARCANA,NOWCAST,1.0,0.5
Financials,banks,loan_growth,FDIC,quarterly_bank_financials,LNLSNET,Q,COINCIDENT,0,A,1,0.3,net_interest_income,quarter_yoy,AVAILABLE_ARCANA,NOWCAST,1.0,0.3
Financials,banks,net_interest_margin,FDIC,quarterly_bank_financials,NIMY,P,COINCIDENT,0,A,1,0.4,net_interest_income,level_change,AVAILABLE_ARCANA,NOWCAST,1.0,0.4
Financials,banks,credit_cost,FDIC,quarterly_bank_financials,NTLNLSR,C,LAGGING,0,A,-1,0.3,roe,quarter_yoy,AVAILABLE_ARCANA,CALIBRATION_ONLY,1.0,0.3
Financials,credit_cards,retail_sales,Census,advance_retail_sales,TOTAL_RETAIL,Q,COINCIDENT,0,B,1,0.5,purchase_volume,ytd_yoy,AVAILABLE_ARCANA,NOWCAST,0.8,0.4
Financials,credit_cards,unemployment,BLS,price_labor_activity,LNS14000000,C,LEADING,3,B,-1,0.5,credit_loss,level_change,AVAILABLE_ARCANA,FORECAST,0.8,0.4
Consumer Discretionary,homebuilders,building_permits,Census,residential_construction,PERMITS,Q,LEADING,6,A,1,0.3,closings,three_month_momentum,AVAILABLE_ARCANA,FORECAST,1.0,0.3
