condition,fixed_wacc_pct,fixed_margin_pct,solved_parameter,status,solution_pct,residual_usd
WACC_FIXED_SOLVE_MARGIN,7.0,,operating_margin_pct,SOLVED,39.598445892333984,-693870.7268676758
WACC_FIXED_SOLVE_MARGIN,8.0,,operating_margin_pct,SOLVED,47.45828628540039,587071.3753051758
WACC_FIXED_SOLVE_MARGIN,9.0,,operating_margin_pct,SOLVED,55.30029296875,-516123.7258911133
WACC_FIXED_SOLVE_MARGIN,10.0,,operating_margin_pct,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,,18712964867.284058
WACC_FIXED_SOLVE_MARGIN,11.0,,operating_margin_pct,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,,58258001186.07257
MARGIN_FIXED_SOLVE_WACC,,14.0,wacc_pct,SOLVED,3.759951114654541,656977.4304199219
MARGIN_FIXED_SOLVE_WACC,,17.0,wacc_pct,SOLVED,4.13824462890625,410294.70178222656
MARGIN_FIXED_SOLVE_WACC,,20.0,wacc_pct,SOLVED,4.516935348510742,-425750.37170410156
MARGIN_FIXED_SOLVE_WACC,,23.0,wacc_pct,SOLVED,4.895998954772949,609692.213684082
MARGIN_FIXED_SOLVE_WACC,,26.0,wacc_pct,SOLVED,5.27545166015625,194577.14392089844
