ticker,beta_status,weekly_observations_available,as_of_date,stock_return_source,benchmark_return_source,market_price_fit_used,expectations_surface_used,symmetric_beta_2y,downside_beta_2y,observations_2y,downside_observations_2y,symmetric_beta_5y,downside_beta_5y,observations_5y,downside_observations_5y,symmetric_beta_7p5y,downside_beta_7p5y,observations_7p5y,downside_observations_7p5y,symmetric_beta_10y,downside_beta_10y,observations_10y,downside_observations_10y
AR,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\AR.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.1935054373926245,1.860644366245038,104.0,44.0,0.7604761167924093,1.8621606875054948,260.0,117.0,1.2623470552868012,1.6353478069600562,390.0,168.0,1.2390775616219065,1.5901844377298353,520.0,217.0
CNX,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\CNX.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.41902085702711567,1.2604821759329419,104.0,44.0,0.5704065046976632,1.2877761437331667,260.0,117.0,0.4546823493409271,0.517708179424106,390.0,168.0,0.5436846278967757,0.5341997271619079,520.0,217.0
COP,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\COP.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.2519986344726547,2.059356321842399,104.0,44.0,0.4890797863181064,1.6464929910952952,260.0,117.0,0.8356841870865175,1.6664774103729056,390.0,168.0,0.8385739295022674,1.5112171582836897,520.0,217.0
DVN,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\DVN.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.18107612492729885,2.5453444610090328,104.0,44.0,0.6010268375445378,2.0871181299032853,260.0,117.0,1.1619415387546592,2.270467680920121,390.0,168.0,1.1773644916846995,2.1215310303386166,520.0,217.0
EOG,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\EOG.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.16619258986613408,1.4958453102413976,104.0,44.0,0.5491290284042211,1.5770538119490314,260.0,117.0,0.8565903994297018,1.3450960077956975,390.0,168.0,0.8649901598832365,1.3150126985552182,520.0,217.0
EQT,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\EQT.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.42246385997824265,1.6196521096569376,104.0,44.0,0.7590282047003284,1.5380798552799395,260.0,117.0,0.625236782928948,0.5336443119850185,390.0,168.0,0.725017255477467,0.5928038286376669,520.0,217.0
FANG,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\FANG.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.3968503903429745,2.5008177193038756,104.0,44.0,0.6926413938898022,2.0685275747393144,260.0,117.0,1.2204250110595367,2.432498195748894,390.0,168.0,1.1958934670250838,2.1913148861865923,520.0,217.0
MGY,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,475.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\MGY.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.36513551946292794,1.8969272071746406,104.0,44.0,0.7506809217064023,1.7728418416875624,260.0,117.0,0.9853130678586616,1.6602005121894698,390.0,168.0,0.9111734467093127,1.463175532327964,475.0,198.0
MTDR,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\MTDR.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.46456608753176587,2.9249074393076016,104.0,44.0,0.8690266898709695,2.351533424784845,260.0,117.0,1.5730742712689176,3.0266688183620114,390.0,168.0,1.570620386049091,2.7466055977772013,520.0,217.0
NOG,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\NOG.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.6620527915855586,3.0591342378507758,104.0,44.0,0.9003784944469442,2.1236482931167147,260.0,117.0,0.9025642755070835,1.700746267549017,390.0,168.0,1.174983271454171,1.842443012268845,520.0,217.0
OVV,LOCKED_NO_LOCAL_RETURN_HISTORY,,,,,False,False,,,,,,,,,,,,,,,,
PR,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,538.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\PR.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.4241501228805767,2.6703740931627458,104.0,44.0,0.7754217699253305,1.9842319061066451,260.0,117.0,0.9506782506355343,2.294986603834818,390.0,168.0,0.9413163038018175,2.1639271403081217,520.0,217.0
RRC,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\RRC.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.2671374512215868,1.8554099778424025,104.0,44.0,0.7572170904056462,1.9077857475234123,260.0,117.0,0.7542813201304839,0.8192638783805452,390.0,168.0,0.8218655355881296,0.9061277140986944,520.0,217.0
SM,INDEPENDENT_LOCAL_TOTAL_RETURN_HISTORY,552.0,2026-08-21,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\price\SM.csv,D:\Programming\python_example\Arcana\data-lake\bronze\yfinance\benchmark\us_sp500.csv,False,False,0.45104851060244017,3.167899318257235,104.0,44.0,0.9969151274372711,2.452179629559557,260.0,117.0,1.6283494265061242,3.101857524580555,390.0,168.0,1.6171747096907751,2.7925576046185383,520.0,217.0
