evidence_id,ticker,event_name,value,unit,source_kind,source_file,source_accession,source_url,source_filed_date,required_phrase,directness_grade
ENERGEN_2018_YTD_PRODUCTION,FANG,Energen Corporation,26709,MBOE,SEC_PRIMARY_PINNED,,0000277595-18-000084,https://www.sec.gov/Archives/edgar/data/277595/000027759518000084/egn9301810q.htm,2018-11-08,"Total production volumes (MBOE) 9,489 7,483 26,709 18,833",A
FANG_2019_PRODUCTION_GUIDANCE_LOW,FANG,2019 conventional asset divestitures,275,MBOE_PER_DAY,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,2019 production guidance of 275 - 290 Mboe/d,A
FANG_2019_PRODUCTION_GUIDANCE_HIGH,FANG,2019 conventional asset divestitures,290,MBOE_PER_DAY,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,2019 production guidance of 275 - 290 Mboe/d,A
CBP_CORPORATE_LOE_CONTRIBUTION,FANG,2019 conventional asset divestitures,0.50,USD_PER_COMPANY_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Includes approximately $0.50/boe attributable to Central Basin Platform assets,A
FANG_GATHERING_TRANSPORT_LOW,FANG,2019 conventional asset divestitures,0.40,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Gathering & Transportation $0.40 - $0.70,A
FANG_GATHERING_TRANSPORT_HIGH,FANG,2019 conventional asset divestitures,0.70,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Gathering & Transportation $0.40 - $0.70,A
FANG_DEPLETION_LOW,FANG,2019 conventional asset divestitures,13.00,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Depletion $13.00 - $15.00,A
FANG_DEPLETION_HIGH,FANG,2019 conventional asset divestitures,15.00,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Depletion $13.00 - $15.00,A
FANG_PRODUCTION_TAX_RATE,FANG,2019 conventional asset divestitures,7.0,PCT_OF_REVENUE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Production and ad valorem taxes (% of revenue) (b) 7.0%,A
FANG_CORPORATE_TAX_RATE,FANG,2019 conventional asset divestitures,23.0,PCT_OF_PRETAX_INCOME,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Corporate tax rate (% of pre-tax income) 23%,A
DIVESTED_TOTAL_PRODUCTION,FANG,2019 conventional asset divestitures,6.5,MBOE_PER_DAY_APPROX,LOCAL_SEC_IR,2019-05-07_0001539838-19-000055_EX-99.1_diamondbackex991-5x7x19.htm,0001539838-19-000055,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000055/diamondbackex991-5x7x19.htm,2019-05-07,"estimated net production of ~6,500 boe/d",A
DIVESTED_OIL_PRODUCTION,FANG,2019 conventional asset divestitures,5.8,MBBL_PER_DAY_APPROX,LOCAL_SEC_IR,2019-11-05_0001539838-19-000115_EX-99.1_diamondbackex991-11x5x.htm,0001539838-19-000115,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000115/diamondbackex991-11x5x.htm,2019-11-05,"removed ~5,800 barrels per day of low margin oil production",A
