frame_id,ticker,predicted_concept,gold_concept,predicted_scope,gold_scope,predicted_period,gold_period,predicted_relation,gold_relation,failure_class,root_cause,repair_layer
a7c902430b52bb290506,MPC,ADJUSTED_EBITDA,NONE,CONSOLIDATED,NONE,2026Q2,NONE,COMPARATIVE,NONE,RELATION_ERROR,Turnaround cost value attached to earlier EBITDA mention,CONTEXT_VALIDATOR
57fcae413722df058585,MPC,PRIOR_YEAR_ADJUSTED_EBITDA,NONE,CONSOLIDATED,NONE,2025Q2,NONE,COMPARATIVE,NONE,RELATION_ERROR,Prior turnaround cost attached to earlier EBITDA mention,CONTEXT_VALIDATOR
cd60017f45c2679db56f,MPC,OPERATING_MARGIN,NONE,CONSOLIDATED,NONE,2026Q2,NONE,COMPARATIVE,NONE,ONTOLOGY_ERROR,Bare margin environment is not operating margin,ONTOLOGY
2a8ecabf6cdffd4704fc,KMI,ADJUSTED_EBITDA,NONE,CONSOLIDATED,NONE,2026Q2,NONE,COMPARATIVE,NONE,RELATION_ERROR,Dividend per share attached across flattened document context,CONTEXT_VALIDATOR
3784cc6d0657222e2422,KMI,PRIOR_YEAR_ADJUSTED_EBITDA,NONE,CONSOLIDATED,NONE,2025,NONE,COMPARATIVE,NONE,RELATION_ERROR,Annualized dividend attached across flattened document context,CONTEXT_VALIDATOR
ed67b45492cd062071d4,KMI,ADJUSTED_EBITDA,NONE,CONSOLIDATED,NONE,2026Q2,NONE,ABSOLUTE_VALUE,NONE,RELATION_ERROR,Net income value precedes and is not predicated on EBITDA,CONTEXT_VALIDATOR
48b178a6395fc4e4de1f,KMI,ADJUSTED_EBITDA,NET_DEBT_TO_ADJUSTED_EBITDA,CONSOLIDATED,CONSOLIDATED,2026,2026,COMPARATIVE,RATE,ONTOLOGY_ERROR,Leverage ratio collapsed into EBITDA concept,ONTOLOGY
cf85373ac32cfd26b2ed,ADT,REVENUE,NONE,CONSOLIDATED,NONE,2026,NONE,ABSOLUTE_VALUE,NONE,DOCUMENT_CONTEXT_ERROR,Repurchase capacity crossed sentence boundary into revenue outlook,CONTEXT_VALIDATOR
d9d575a787bfebe85920,MATX,REVENUE,OPERATING_INCOME,LOGISTICS,LOGISTICS,2026Q2,2026Q2,CHANGE_TO,CHANGE_TO,RELATION_ERROR,Operating income value attached to prior revenue clause,CONTEXT_VALIDATOR
ff9e619d0238b95bf4ba,MATX,REVENUE,OPERATING_INCOME,LOGISTICS,LOGISTICS,2026H1,2026H1,CHANGE_TO,CHANGE_TO,RELATION_ERROR,Operating income value attached to prior revenue clause,CONTEXT_VALIDATOR
